,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-08-21,799.4500122070312,0.99,0.029,0.867,0.104,793.0,803.75,793.0,5926896.0
2019-08-22,795.7000122070312,0.9783,0.032,0.865,0.103,799.9000244140625,801.2999877929688,792.3499755859375,5222488.0
2019-08-23,802.2000122070312,0.9974,0.049,0.837,0.114,796.4500122070312,809.9500122070312,795.7999877929688,6895015.0
2019-08-26,802.5499877929688,0.9809,0.0,0.858,0.142,795.9000244140625,806.7999877929688,786.9000244140625,5412074.0
2019-08-27,784.6500244140625,0.9951,0.036,0.844,0.12,791.0,794.9500122070312,781.0999755859375,16061642.0
2019-08-28,802.5,0.9983,0.019,0.812,0.169,787.4000244140625,805.0,786.2999877929688,5881134.0
2019-08-29,806.9500122070312,0.9956,0.01,0.823,0.166,795.5,809.7000122070312,795.5,7830413.0
2019-08-30,814.9000244140625,0.9891,0.02,0.874,0.106,810.0,817.3499755859375,802.0,8174186.0
2019-09-03,814.25,0.743,0.0,0.939,0.061,815.0,822.4000244140625,812.0499877929688,5647088.0
2019-09-04,821.2999877929688,0.9878,0.031,0.842,0.127,810.75,822.4500122070312,810.25,6199015.0
2019-09-05,834.0499877929688,0.9906,0.013,0.89,0.097,830.0999755859375,837.5,826.6500244140625,7926895.0
2019-09-06,840.1500244140625,0.9894,0.016,0.873,0.11,843.2999877929688,847.0,835.0499877929688,6106841.0
2019-09-09,829.0999755859375,0.9884,0.017,0.889,0.094,836.7999877929688,840.2999877929688,827.5499877929688,4377870.0
2019-09-11,820.0999755859375,0.9895,0.008,0.883,0.108,822.2999877929688,828.5499877929688,814.1500244140625,7981036.0
2019-09-12,816.4000244140625,0.9937,0.025,0.874,0.101,816.4000244140625,819.8499755859375,810.8499755859375,4400017.0
2019-09-13,829.2999877929688,0.9939,0.036,0.863,0.101,818.0999755859375,831.0499877929688,817.5,4832021.0
2019-09-16,827.7000122070312,0.9919,0.044,0.836,0.12,832.0499877929688,837.9500122070312,820.5499877929688,4846496.0
2019-09-17,831.25,0.9982,0.007,0.846,0.147,831.5,835.0,820.5499877929688,5540901.0
2019-09-18,829.8499755859375,0.9911,0.029,0.88,0.091,829.9000244140625,832.9500122070312,824.0,3199389.0
2019-09-19,820.7000122070312,0.9911,0.047,0.835,0.118,824.8499755859375,827.0,815.2000122070312,6601607.0
2019-09-20,805.0,0.9965,0.028,0.837,0.135,822.9000244140625,835.0,802.0,22462366.0
2019-09-23,764.3499755859375,0.9245,0.051,0.858,0.09,806.9000244140625,806.9000244140625,741.9000244140625,17279260.0
